the,1,THE,τħé
of,2,OF!UV,of!uv
and,3,AND,and
to,4,TO!TOO,tó!tö
a,5,A,a
in,6,IN1,in
that,7,THAT,τħat
it,8,IT,it
is,9,IZ1,iś
was,10,WAZ!WOZ,wáś!woś
i,11,UY1,î
for,12,FAW1,før#
on,13,ON,on
you,14,YOO1,yöù
he,15,HIY1,hê
be,16,BIY1,bê
with,17,WITH,wiτħ
as,18,AZ,aś
by,19,BUY1,bŷ
at,20,AT,at
have,21,HAV1,havè
are,22,AR1,ār#è
this,23,THIS,τħis
not,24,NOT1,not
t,24,T,t
but,25,BUT1,but
d,26,D1,d
had,26,HAD1,had
his,27,HIZ,hiś
they,28,THEY,τħey
from,29,FROM1,fróm
she,30,SHIY1,ŝħê
which,31,WIKH,wħiĉħ
or,32,AW1,ør#
we,33,WIY1,wê
an,34,AN1,an
there,35,THEA1,τħeŕè
her,36,HUR1,hèŕ
were,37,WUR1,wèŕè
do,38,DOO1,dö
been,39,BIN!BIYN,bėèn!bêèn
all,40,AWL,ål0l
their,41,THEA2,τħeìŕ
has,42,HAZ,haś
would,43,WUUD1,wōùl0d
ll,44,L,ll
will,44,WIL1,will
what,45,WAWT!WOT,wħåt!wot
if,46,IF,if
can,47,KAN1,can
when,48,WEN1,wħen
so,49,SOE1,sô
no,50,NOE1,nô
said,51,SED,sãìd
who,52,HOO1,w0hö
more,53,MAW1,mør#è
about,54,ABOWT,ábõùt
up,55,UP1,up
them,56,THEM,τħem
some,57,SUM1,sőmè
could,58,KUUD,cōùl0d
him,59,HIM1,him
into,60,INTOO,intö
its,61,ITS,its
then,62,THEN,τħen
out,63,OWT,õùt
time,64,TUYM1,tîmè
like,65,LUYK,lîkè
only,66,OENLIY,ônlý
my,67,MUY1,mŷ
did,68,DID,did
didn,68,DIDN,didn
other,69,UTHA,őτħèŕ
me,70,MIY1,mê
your,71,YAW1,yøùr0
now,72,NOW,nõw0
over,73,OEVA,ôvèŕ
just,74,JUST,just
may,75,MAE,mãý
these,76,THIYZ,τħêśè
new,77,NOO1,nëw0
also,78,AWLSOE,ålsô
people,79,PIYPL,pêòplè
any,80,ENIY,ãný
know,81,NOE2,k0nôw0
very,82,VERIY,verý
see,83,SIY1,sêè
seeland,83,SIYLAND,sêèland
first,84,FURST,fìŕst
well,85,WEL,well
after,86,AFTA,aftèŕ
should,87,SHUUD,ŝħōùl0d
than,88,THAN1,τħan
where,89,WEA1,wħeŕè
back,90,BAK,back0
isn,90,IZN,iśn
how,91,HOW1,hõw0
get,92,GET,get
most,93,MOEST,môst
way,94,WAE1,wãý
down,95,DOWN,dõw0n
our,96,OWA1,õυŕ
made,97,MEYD1,mâdè
got,98,GOT1,got
much,99,MUKH,muĉħ
think,100,THINK,πħiñk
wasn,100,WAZN!WOZN,wáśn!wośn
work,101,WURK,wòŕk
between,102,BITWIYN,bėtwêèn
go,103,GOE1,gô
years,104,YIAZ,yėàŕś
er,105,UR1,èŕ
many,106,MENIY,mãný
ve,107,V,vè
being,108,BIYING,bêiñg0
those,109,THOEZ,τħôśè
before,110,BIFAW,bėfør#è
right,111,RUYT1,rîg0ħt
because,112,BIKAWZ,bėcåùśè
re,113,RIY1,rê
re,113,UR2,ŕè
re,113,UR3,ŕè
through,114,THROO1,πħröùg0ħ
yeah,115,YE1,yeàħ
good,116,GUUD1,gōòd
make,117,MEYK,mâkè
such,118,SUKH,suĉħ
still,119,STIL,still
stillest,119,STILEST,stillést
year,120,YIA,yėàŕ
must,121,MUST,must
even,123,IYVEN,êvén
take,124,TEYK,tâkè
own,125,OEN,ôw0n
too,126,TOO1,töò
off,127,OF,o#ff
here,128,HIA1,hėŕè
come,129,KUM1,cőmè
both,130,BOETH,bôπħ
does,131,DUZ,dőèś
say,132,SAE,sãý
oh,133,OE1,ôħ
used,134,UEZD,ûśèd
going,135,GOEING,gôiñg0
use,136,UES,ûsè
use,136,UEZ1,ûśè
use,136,UEZ2,ûśè
uses,136,UESIZ,ûsėś
uses,136,UEZIZ1,ûśėś
uses,136,UEZIZ2,ûśėś
us,137,US,us
government,138,GUVURNMENT,gővèŕnmént
day,139,DAE,dãý
man,140,MAN1,man
might,141,MUYT1,mîg0ħt
same,142,SEYM1,sâmè
under,143,UNDA,undèŕ
yes,144,YES,yes
however,145,HOWEVA,hõw0evèŕ
put,146,PUUT,pūt
world,147,WURLD1,wòŕld
another,148,ANUTHA,ánőτħèŕ
want,149,WANT!WONT,want!wont
wanting,149,WANTING!WONTING,wantiñg0!wontiñg0
thought,150,THAWT,πħøùg0ħt
while,151,WUYL1,wħîlè
life,152,LUYF,lîfè
again,153,AGEN,ágãìn
against,154,AGENST,ágãìnst
never,155,NEVA,nevèŕ
need,156,NIYD1,nêèd
old,157,OELD1,ôld
look,158,LUUK,lōòk
home,159,HOEM1,hômè
something,160,SUMTHING,sőmèπħiñg0
long,161,LONG,loñg0
house,162,HOWS1,hõùsè
house,162,HOWS2,hõùsè
house,162,HOWZ1,hõùśè
why,163,WUY1,wħŷ
whys,163,WUYZ1,wħŷś
each,164,IYKH,êàĉħ
part,165,PART,pār#t
since,166,SINS,sinçè
end,167,END,end
number,168,NUMBA,numbèŕ
found,169,FOWND,fõùnd
place,170,PLEYS,plâçè
different,171,DIFREN,diffèrént0
went,172,WENT,went
little,173,LITL,littlè
really,174,RIYALIY,rêallý
came,175,KEYM,câmè
left,176,LEFT,left
children,177,KHILDREN,ĉħildrén
local,178,LOEKAL1,lôcál
within,179,WITHIN,wiτħin
always,180,AWLWAEZ,ålwãýś
without,181,WITHOWT,wiτħõùt
one,182,ONE!WUN,one!wőnè
around,183,AROWND,árõùnd
great,184,GREYT1,grèât
give,185,GIV,givè
set,186,SET,set
system,187,SISTEM,sẏstém
small,188,SMAWL,smål0l
mean,189,MIYN1,mêàn
although,191,AWLTHOE,ålτħôùg0ħ
case,192,KEYS,câsè
next,193,NEKST,next
things,194,THINGZ,πħiñg0ś
find,195,FUYND1,fînd
social,196,SOESHIAL,sôćiál
given,197,GIVEN,givén
group,198,GROOP1,gröùp
second,199,SEKOND,secónd
quite,200,KWUYT,qυîtè
until,201,UNTIL,until
party,202,PARTIY1,pār#tý
point,203,POINT1,pσìnt
every,204,EVRIY,evèrý
company,205,KUMPANIY,cőmpáný
women,207,WOMEN!WIMIN,women!wimėn
says,208,SEZ,sãy0ś
later,209,LEYTA,lâtèŕ
havn,210,HAVN,havn
important,210,IMPAWTANT,impør#tánt
took,211,TUUK,tōòk
state,212,STEYT,stâtè
high,213,HUY1,hîg0ħ
men,214,MEN,men
away,215,AWAE,áwãý
information,216,INFURMEYSHN,infòŕmâţìòn
public,217,PUBLIK,public
help,218,HELP,help
head,219,HED,heàd
national,220,NASHNAL,naţìònál
often,221,OFTEN,o#ftén
seen,222,SIYN1,sêèn
school,223,SKOOL,scħöòl
money,224,MUNIY,mőnêy0
told,225,TOELD1,tôld
fact,226,FAKT,fact
night,227,NUYT1,nîg0ħt
further,228,FURTHA,fùŕτħèŕ
better,229,BETA,bettèŕ
british,230,BRITISH,britiŝħ
business,231,BUZNIS!BIZNIS,buśìnėss!biśnėss
less,232,LES1,less
taken,233,TEYKEN,tâkén
done,234,DUN1,dőnè
hand,235,HAND,hand
having,236,HAVING1,haviñg0
thing,237,THING,πħiñg0
looked,238,LUUKT,lōòkèð
london,239,LONDON,lóndón
area,240,ERIYA,ãrêá
water,241,WAWTA,wåtèŕ
perhaps,242,PURHAPS,pèŕhaps
face,243,FEYS,fâçè
best,244,BEST,best
form,245,FAWM,før#m
family,246,FAMILIY,famílý
general,247,JENERAL1,ĝenérál
though,248,THOE1,τħôùg0ħ
already,249,AWLREDIY,ålreàdý
possible,250,POSIBL,possíblè
nothing,251,NUTHING,nőπħiñg0
early,252,URLIY1,èàŕlý
large,253,LARJ,lār#ĝè
yet,254,YET,yet
young,255,YUNG1,yòuñg0
side,256,SUYD1,sîdè
asked,257,ASKT,askèð
whether,258,WETHA1,wħeτħèŕ
days,259,DAEZ,dãýś
called,260,KAWLD,cål0lèd
hadn,260,HADN,hadn
john,261,JON1,joħn
enough,262,ENOUGH!INUF,enough!ėnòuf
development,263,DIVELOPMENT,dėvelópmént
week,264,WIYK1,wêèk
round,265,ROWND,rõùnd
power,266,POWA,põwèŕ
change,267,KHEYNJ,ĉħânĝè
country,268,KUNTRIY,còuntrý
almost,269,AWLMOEST,ålmôst
council,270,KOWNSIL,cõùnçíl
himself,271,HIMSELF,himself
room,272,ROOM,röòm
tell,273,TEL1,tell
service,274,SURVIS,sèŕviçè
political,275,POLITIKAL,pólitícál
far,276,FAR1,fār#
able,277,EYBL,âblè
become,278,BIKUM,bėcőmè
open,279,OEPEN,ôpén
market,280,MARKIT,mār#kėt
times,281,TUYMZ,tîmèś
whole,282,HOEL1,w0hôlè
support,283,SUPAWT,suppør#t
half,284,HARF,hāl0f
eyes,285,UYZ1,èŷèś
members,286,MEMBAZ,membèŕś
working,287,WURKING,wòŕkiñg0
control,288,KONTROEL,cóntrôl
major,289,MEYJA,mâjòŕ
problem,290,PROBLEM,problém
doing,291,DOOING,döiñg0
court,292,KAWT1,cøùr0t
towards,293,TOWAWDZ,tówår0dś
mind,294,MUYND1,mînd
anything,295,ENIYTHING,ãnýπħiñg0
others,296,UTHAZ,őτħèŕś
felt,297,FELT,felt
