the,732,1,3,τħé,the
of,77,2,2,of,uv
and,152,3,3,and,and
to,755,4,3,tó,too
a,1,5,1,a,a
in,351,6,2,in,in1
that,7317,7,4,τħat,that
it,37,8,2,it,it
is,361,9,2,iś,iz1
was,856,10,3,wáś,woz
i,781,11,2,î,uy1
for,2181,12,3,før#,faw1
on,55,13,2,on,on
you,8551,14,3,yöù,yoo1
he,3381,15,3,hê,hiy1
be,1381,16,3,bê,biy1
with,8373,17,4,wiτħ,with
as,16,18,2,aś,az
by,1781,19,3,bŷ,buy1
at,17,20,2,at,at
have,3171,21,3,havè,hav1
are,161,22,2,ār#è,ar1
this,7338,23,4,τħis,this
not,5571,24,3,not,not1
t,7,24,1,t,t
but,1771,25,3,but,but1
d,21,26,1,d,d1
had,3121,26,3,had,had1
his,336,27,3,hiś,hiz
they,7328,28,4,τħey,they
from,26551,29,4,fróm,from1
she,83381,30,4,ŝħê,shiy1
which,8343,31,4,wħiĉħ,wikh
or,181,32,2,ør#,aw1
we,8381,33,3,wê,wiy1
an,151,34,2,an,an1
there,73211,35,4,τħeŕè,thea1
her,3761,36,3,hèŕ,hur1
were,8761,37,3,wèŕè,wur1
do,2551,38,3,dö,doo1
been,1385,39,4,bėèn,biyn
all,184,40,3,ål0l,awl
their,73212,41,4,τħeìŕ,thea2
has,316,42,3,haś,haz
would,87721,43,4,wōùl0d,wuud1
ll,4,44,1,ll,l
will,8341,44,3,will,wil1
what,857,45,3,wħåt,wot
if,32,46,2,if,if
can,4151,47,3,can,kan1
when,8251,48,3,wħen,wen1
so,8521,49,3,sô,soe1
no,5521,50,3,nô,noe1
said,822,51,3,sãìd,sed
who,3551,52,3,w0hö,hoo1
more,5181,53,3,mør#è,maw1
about,11587,54,5,ábõùt,abowt
up,761,55,2,up,up1
them,7325,56,4,τħem,them
some,8751,57,3,sőmè,sum1
could,4772,58,4,cōùl0d,kuud
him,3351,59,3,him,him1
into,35755,60,5,intö,intoo
its,378,61,3,its,its
then,7325,62,4,τħen,then
out,587,63,3,õùt,owt
time,77851,64,4,tîmè,tuym1
like,4784,65,4,lîkè,luyk
only,525438,66,6,ônlý,oenliy
my,5781,67,3,mŷ,muy1
did,232,68,3,did,did
didn,2325,68,4,didn,didn
other,7731,69,4,őτħèŕ,utha
me,5381,70,3,mê,miy1
your,8181,71,3,yøùr0,yaw1
now,558,72,3,nõw0,now
over,5271,73,4,ôvèŕ,oeva
just,4787,74,4,just,just
may,512,75,3,mãý,mae
these,73386,76,5,τħêśè,thiyz
new,5551,77,3,nëw0,noo1
also,184852,78,6,ålsô,awlsoe
people,63864,79,5,pêòplè,piypl
any,2538,80,4,ãný,eniy
know,5522,81,3,k0nôw0,noe2
very,72638,82,5,verý,veriy
see,8381,83,3,sêè,siy1
seeland,8384152,83,7,sêèland,siyland
first,27687,84,5,fìŕst,furst
well,824,85,3,well,wel
after,1271,86,4,aftèŕ,afta
should,83772,87,5,ŝħōùl0d,shuud
than,73151,88,4,τħan,than1
where,8211,89,3,wħeŕè,wea1
back,114,90,3,back0,bak
