and,1,10,3,and,and
a,1,52,1,a,a
be,1,56,3,bê,biy1
by,1,66,3,bŷ,buy1
for,2,42,3,før#,faw1
from,2,76,4,fróm,from1
do,2,133,3,dö,doo1
first,2,176,5,fìŕst,furst
in,3,31,2,in,in1
it,3,42,2,it,it
is,3,47,2,iś,iz1
he,3,52,3,hê,hiy1
could,4,152,4,cōùl0d,kuud
can,4,164,3,can,kan1
like,4,170,4,lîkè,luyk
just,4,194,4,just,just
on,5,68,2,on,on
not,5,84,3,not,not1
only,5,115,6,ônlý,oenliy
no,5,175,3,nô,noe1
people,6,165,5,pêòplè,piypl
really,6,261,7,rêallý,riyaliy
right,6,291,4,rîg0ħt,ruyt1
particularly,6,312,14,pār#ticûlàŕlý,partikuelurliy
the,7,3,3,τħé,the
of,7,10,2,of,uv
to,7,14,3,tó,too
that,7,18,4,τħat,that
was,8,35,3,wáś,woz
with,8,44,4,wiτħ,with
you,8,49,3,yöù,yoo1
she,8,78,4,ŝħê,shiy1
about,11,113,5,ábõùt,abowt
back,11,315,3,back0,bak
above,11,882,4,ábővè,abuv
bank,11,1383,4,bañk,bank
after,12,225,4,aftèŕ,afta
family,12,369,7,famílý,familiy
day,12,486,3,dãý,dae
fact,12,593,4,fact,fakt
have,13,73,3,havè,hav1
had,13,91,3,had,had1
been,13,102,4,bėèn,biyn
has,13,147,3,haś,haz
actually,14,386,9,actûállý,aktuealiy
called,14,546,5,cål0lèd,kawld
large,14,664,4,lār#ĝè,larj
across,14,720,5,ácro#ss,akros
an,15,178,2,an,an1
more,15,185,3,mør#è,maw1
another,15,259,6,ánőτħèŕ,anutha
may,15,262,3,mãý,mae
as,16,94,2,aś,az
are,16,115,2,ār#è,ar1
around,16,320,6,árõùnd,arownd
british,16,345,7,britiŝħ,british
but,17,87,3,but,but1
at,17,105,2,at,at
available,17,410,8,ávâìláblè,aveylabl
book,17,921,4,bōòk,buuk
also,18,136,6,ålsô,awlsoe
all,18,140,3,ål0l,awl
or,18,168,2,ør#,aw1
your,18,248,3,yøùr0,yaw1
education,22,346,10,edûcâţìòn,eduekeyshn
face,22,637,4,fâçè,feys
felt,22,779,4,felt,felt
david,22,1058,6,dâvid,deyvid
didn,23,178,4,didn,didn
did,23,238,3,did,did
if,23,241,2,if,if
development,23,251,11,dėvelópmént,divelopment
general,24,370,7,ĝenérál,jeneral1
later,24,438,5,lâtèŕ,leyta
came,24,459,4,câmè,keym
left,24,462,4,left,left
over,25,191,4,ôvèŕ,oeva
any,25,210,4,ãný,eniy
many,25,222,5,mãný,meniy
down,25,249,4,dõw0n,down
area,26,504,5,ãrêá,eriya
patients,26,635,9,pâţìénts,peyshents
areas,26,665,6,ãrêáś,eriyaz
parents,26,870,7,pã#rénts,perents
very,27,172,5,verý,veriy
uses,27,285,5,ûsėś,uesiz
take,27,325,4,tâkè,teyk
used,27,351,4,ûśèd,uezd
when,28,168,3,wħen,wen1
said,28,178,3,sãìd,sed
well,28,297,3,well,wel
where,28,311,3,wħeŕè,wea1
his,33,94,3,hiś,hiz
him,33,206,3,him,him1
himself,33,406,7,himself,himself
given,33,413,5,givén,given
children,34,232,8,ĉħildrén,khildren
experience,34,412,11,ėxpėrïénçè,ikspiriyens
little,34,454,4,littlè,litl
change,34,467,6,ĉħânĝè,kheynj
into,35,126,5,intö,intoo
who,35,182,3,w0hö,hoo1
information,35,206,11,infòŕmâţìòn,infurmeyshn
going,35,236,6,gôiñg0,goeing
isn,36,315,3,iśn,izn
great,36,386,5,grèât,greyt1
re,36,395,3,rê,riy1
group,36,415,5,gröùp,groop1
this,37,60,4,τħis,this
they,37,73,4,τħey,they
there,37,91,4,τħeŕè,thea1
their,37,107,4,τħeìŕ,thea2
which,38,81,4,wħiĉħ,wikh
we,38,115,3,wê,wiy1
seeland,38,124,7,sêèland,siyland
will,38,154,3,will,wil1
clearly,44,816,8,clėàŕlý,kliurliy
clear,44,889,4,clėàŕ,klia
class,44,1372,4,class,klas1
club,44,1506,4,club,klub
local,45,311,6,lôcál,loekal1
control,45,378,8,cóntrôl,kontroel
council,45,405,7,cõùnçíl,kownsil
community,45,411,10,cómmûnítý,komuenitiy
place,46,357,5,plâçè,pleys
planning,46,982,7,planniñg0,planing
play,46,1118,4,plãý,plae
playing,46,1195,8,plâyiñg0,pleyying
company,47,269,8,cőmpáný,kumpaniy
life,47,399,4,lîfè,luyf
country,47,402,7,còuntrý,kuntriy
look,47,414,4,lōòk,luuk
quite,48,420,5,qυîtè,kwuyt
school,48,468,5,scħöòl,skool
question,48,490,7,qυesţìòn,kwesshn
questions,48,880,8,qυesţìònś,kwesshnz
most,55,195,5,môst,moest
now,55,252,3,nõw0,now
new,55,269,3,nëw0,noo1
know,55,283,3,k0nôw0,noe2
political,56,320,9,pólitícál,politikal
point,56,426,5,pσìnt,point1
possible,56,437,6,possíblè,posibl
policy,56,498,7,políçý,polisiy
my,57,234,3,mŷ,muy1
much,57,259,4,muĉħ,mukh
must,57,317,4,must,must
number,57,352,5,numbèŕ,numba
what,58,157,3,wħåt,wot
so,58,171,3,sô,soe1
out,58,220,3,õùt,owt
wanting,58,223,7,wantiñg0,wonting
probably,66,364,9,probáblý,probabliy
problems,66,405,8,problémś,problemz
problem,66,435,7,problém,problem
provide,66,606,7,próvîdè,provuyd
up,67,288,2,up,up1
perhaps,67,363,7,pèŕhaps,purhaps
public,67,379,6,public,publik
put,67,383,4,pūt,puut
special,68,540,8,spećiál,speshial
specific,68,1151,8,spéçific,spesifik
species,68,1213,9,spêćìêś,spiyshiyz
space,68,1602,5,spâçè,speys
time,77,168,4,tîmè,tuym1
other,77,181,4,őτħèŕ,utha
took,77,553,4,tōòk,tuuk
times,77,590,5,tîmèś,tuymz
i,78,57,2,î,uy1
would,78,112,4,wōùl0d,wuud1
were,78,129,3,wèŕè,wur1
stillest,78,178,7,stillést,stilest
switzerland,88,4893,11,switzèŕlánd,switzurland
swimming,88,4972,7,swimmiñg0,swiming
switch,88,5012,6,switĉħ,switkh
sweet,88,5548,5,swêèt,swiyt1
abandoned,111,4055,8,ábandónèd,abandond
abandon,111,8650,7,ábandón,abandon
bad,112,2149,3,bad,bad
badly,112,3993,6,badlý,badliy
ability,113,1433,8,ábilítý,abilitiy
bag,113,6580,3,bag,bag
background,114,1907,9,back0grõùnd,bakgrownd
balance,114,1981,6,balánçè,balans
banks,115,2998,5,bañks,banks1
band,115,3900,4,band,band1
abroad,116,4352,6,ábrøàd,abrawd
bar,116,4420,3,bār#,bar1
battle,117,3982,4,battlè,batl
bathroom,117,4680,8,baπħröòm,bathroom
absolutely,118,1638,11,absólütèlý,absolootliy
bass,118,1767,3,bass,bas
bear,121,4549,4,beár,bear
afford,121,4567,5,áffør#d,afawd
days,122,679,4,dãýś,daez
bed,122,2096,3,bed,bed
begone,123,993,5,begonè,begon
added,123,1630,4,addėd,adid
factors,124,2017,6,factòŕś,faktaz
factory,124,2815,8,factórý,faktoriy
administration,125,1138,14,administrâţìòn,administreyshn
benefit,125,1374,7,benéfit,benefit
father,126,637,6,fāτħèŕ,fartha1
far,126,966,3,fār#,far1
better,127,601,4,bettèŕ,beta
afternoon,127,1390,9,aftèŕnöòn,afturnoon
best,128,640,4,best,best
form,128,643,4,før#m,fawm
habit,131,8053,5,habít,habit
habits,131,8457,6,habíts,habits
before,132,231,5,bėfør#è,bifaw
against,132,269,6,ágãìnst,agenst
behind,133,559,7,bėhînd,bihuynd
began,133,772,5,bėgan,bigan
because,134,196,6,bėcåùśè,bikawz
become,134,583,5,bėcőmè,bikum
hand,135,616,4,hand,hand
hands,135,1037,5,handś,handz
business,136,404,6,buśìnėss,biznis
half,136,745,4,hāl0f,harf
between,137,153,7,bėtwêèn,bitwiyn
having,137,413,6,haviñg0,having1
being,138,189,6,bêiñg0,biying
beyond,138,1433,6,bėyond,biyond
black,141,918,4,black0,blak
cabinet,141,2310,7,cabínét,kabinet
lay,142,3444,3,lãý,lae1
allegations,142,4891,10,allégâţìònś,alegeyshnz
achieved,143,1906,7,áĉħìêvèd,akhiyvd
achieve,143,2595,6,áĉħìêvè,akhiyv
actual,144,1916,8,acťûál,akkhueal
acquired,144,2836,9,ácqυîŕèd,akkwuyurd
language,145,748,7,lañgυáĝè,langwaj
along,145,1008,5,áloñg0,along
car,146,1046,3,cār#,kar1
