au,25,77022,2,àu=,oe4,rr: 
o,25,125086,2,ô,oe5,rr: 
aux,25,158838,2,àu=x0,oe6,rr: 
eau,25,199032,2,èàu=,oe7,rr: 
emme,25,389513,2,emmè,em2,rr: 
dac,124,248685,3,dac,dak2,rr: 
bem,125,165819,3,bem,bem,rr: 
phan,125,188552,3,þħan,fan2,rr: 
pham,125,198068,3,þħam,fam,rr: 
damme,125,236040,3,dammè,dam3,rr: 
behn,125,277242,3,beħn,ben3,rr: 
baer,126,223163,3,bãèr,ber1,rr: 
phar,126,240572,3,þħār#,far4,rr: 
behr,126,240796,3,beħr,ber2,rr: 
ebbs,126,288326,3,ebbś,ebz,rr: 
dass,128,210448,3,dass,das2,rr: 
dawe,128,238059,3,dåw0è,daw3,rr: 
adss,128,278355,3,adss,ads,rr: 
daw,128,294154,3,dåw0,daw4,rr: 
gad,132,196605,3,gad,gad1,rr: 
gadd,132,249102,3,gadd,gad2,rr: 
haddad,132,282285,3,haddàd0,had2,rr: 
bildt,134,290675,3,bild0t0,bil3,rr: 
gar,136,321086,3,gār#,gar2,rr: 
haw,138,175325,3,håw0,haw3,rr: 
hau,138,188457,3,háυ,haw4,rr: 
hoar,138,280392,3,høàr0,haw5,rr: 
cay,142,190865,3,cãý,kae3,rr: 
ladd,142,216828,3,ladd,lad2,rr: 
jaye,142,293366,3,jãýè,jae2,rr: 
laye,142,316785,3,lãýè,lae2,rr: 
jac,144,280689,3,jac,jak2,rr: 
cann,145,144210,3,cann,kan3,rr: 
jamb,145,199797,3,jamb0,jam2,rr: 
kam,145,223580,3,kam,kam2,rr: 
cahn,145,236918,3,caħn,kan4,rr: 
kan,145,245994,3,kan,kan5,rr: 
camm,145,274452,3,camm,kam3,rr: 
lambe,145,293247,3,lamb0è,lam3,rr: 
jahn,145,297895,3,jaħn,jan2,rr: 
ka,146,146065,3,kā,kar4,rr: 
als,146,174531,3,alś,alz,rr: 
capp,146,176260,3,capp,kap2,rr: 
zsa,146,180435,3,z#s0ā,jar2,rr: 
jap,146,207644,3,jap,jap,rr: 
lahr,146,226982,3,lāħr,lar2,rr: 
lapp,146,237870,3,lapp,lap2,rr: 
lar,146,308084,3,lār#,lar3,rr: 
lore,148,79481,3,lør#è,law2,rr: 
ax,148,121149,3,ax,aks2,rr: 
cass,148,127340,3,cass,kas1,rr: 
cas,148,142114,3,cas,kas2,rr: 
caw,148,199521,3,cåw0,kaw4,rr: 
lor,148,207235,3,lør#,law3,rr: 
lau,148,219093,3,láυ,law4,rr: 
loehr,148,256091,3,løèħr,law5,rr: 
corr,148,267956,3,cør#r0,kaw5,rr: 
laure,148,297755,3,låùr0è,law6,rr: 
naff,152,108871,3,naff,naf,rr: 
beaux,152,139492,3,bèàu=x0,boe6,rr: 
nad,152,238948,3,nad,nad,rr: 
malle,154,303341,3,mallè,mal2,rr: 
bom,155,78484,3,bom,bom2,rr: 
bohm,155,186851,3,boħm,bom3,rr: 
manne,155,203427,3,mannè,man3,rr: 
bonne,155,213790,3,bonnè,bon3,rr: 
nap,156,70875,3,nap,nap1,rr: 
