d,2,273,1,+'D,d1,rr 1: 
edd,2,257554,1,èd,d2,rr 2: 
ll,4,462,1,+'LL,l,rr 1: 
m,5,3496,1,+'M,+'M,rr 1: 
t,7,252,1,+'T,t,rr 1: 
ve,7,1123,1,+'VE,v,rr 2: 
uh,7,179298,1,uħ,u,rr 3: 
s,8,31500,1,+'S,s,rr 1: 
add,12,6410,2,add,ad1,rr 1: 
ad,12,22113,2,ad,ad2,rr 2: 
ebb,12,85596,2,ebb,eb1,rr 3: 
eb,12,169060,2,eb,eb2,rr 4: 
dah,12,312018,2,dáħ,da,rr 5: 
ag,13,64170,2,ag,ag,rr 1: 
al,14,29636,2,al,al,rr 1: 
ack,14,386673,2,ack0,ak,rr 2: 
am,15,1748,2,am,am,rr 1: 
anne,15,11833,2,annè,an2,rr 2: 
ann,15,22722,2,ann,an3,rr 3: 
ahn,15,268212,2,aħn,an4,rr 4: 
ah,16,5197,2,āħ,ar2,rr 1: 
ar,16,88935,2,ār#,ar3,rr 2: 
app,16,122902,2,app,ap,rr 3: 
ahh,16,260095,2,āħħ,ar4,rr 4: 
pah,16,266973,2,paħ,pa,rr 5: 
awe,18,15750,2,åw0è,aw2,rr 1: 
ore,18,60831,2,ør#è,aw3,rr 2: 
ass,18,79296,2,ass,as,rr 3: 
aw,18,118471,2,åw0,aw4,rr 4: 
oar,18,179487,2,øàr0,aw5,rr 5: 
orr,18,220347,2,ør#r0,aw6,rr 6: 
de,22,3837,2,dé,de1,rr 1: 
des,22,20884,2,des0,de2,rr 2: 
ed,22,25578,2,ed,ed,rr 3: 
egg,23,18606,2,egg,eg,rr 1: 
id,23,65882,2,id,id,rr 2: 
heh,23,217402,2,heħ,he,rr 3: 
le,24,16962,2,lé,le,rr 1: 
el,24,29232,2,el,el1,rr 2: 
ell,24,152596,2,ell,el2,rr 3: 
elle,24,236738,2,ellè,el3,rr 4: 
ek,24,297528,2,ek,ek1,rr 5: 
eck,24,305455,2,eck0,ek2,rr 6: 
off,25,666,2,o#ff,of,rr 1: 
oh,25,698,2,ôħ,oe1,rr 2: 
odd,25,11592,2,odd,od,rr 3: 
owe,25,31195,2,ôw0è,oe2,rr 4: 
en,25,46436,2,en,en,rr 5: 
o,25,51423,2,ô,oe3,rr 6: 
em,25,59031,2,em,em1,rr 7: 
ere,26,36750,2,erè,er1,rr 1: 
eyre,26,77017,2,ey0rè,er2,rr 2: 
ayre,26,300846,2,ãy0rè,er3,rr 3: 
et,27,34776,2,et,et,rr 1: 
u,27,36498,2,û,ue1,rr 2: 
ev,27,106307,2,ev,ev,rr 3: 
uwe,27,359357,2,ûw0è,ue2,rr 4: 
yeah,28,603,2,yeàħ,ye1,rr 1: 
es,28,68738,2,es,es1,rr 2: 
yeh,28,179912,2,yeħ,ye2,rr 3: 
ae,28,180642,2,âè,ey,rr 4: 
ess,28,226390,2,ess,es2,rr 5: 
esse,28,421659,2,essè,es3,rr 6: 
ill,34,10620,2,ill,il1,rr 1: 
ick,34,36750,2,ick0,ik,rr 2: 
il,34,64228,2,il,il2,rr 3: 
inn,35,26911,2,inn,in2,rr 1: 
oi,35,63845,2,σì,oi1,rr 2: 
im,35,92342,2,im,im,rr 3: 
oy,35,153898,2,σy0,oi2,rr 4: 
og,35,258893,2,og,og,rr 5: 
oye,35,424142,2,σy0è,oi3,rr 6: 
es,36,180484,2,ėś,iz2,rr 1: 
huh,37,55482,2,huħ,hu,rr 1: 
ugh,37,103902,2,ugħ,ug,rr 2: 
e,38,47386,2,ê,iy1,rr 1: 
sh,38,47454,2,ŝħ,sh1,rr 2: 
ee,38,58626,2,êè,iy2,rr 3: 
shh,38,70638,2,ŝħħ,sh2,rr 4: 
e,38,94615,2,ê,iy3,rr 5: 
jacques,44,36702,2,j0àcqùès0,kk,rr 1: 
och,45,102170,2,ocħ,ok,rr 1: 
ooh,55,11334,2,öòħ,oo1,rr 1: 
ou,55,123443,2,öù,oo2,rr 2: 
oo,55,157500,2,öò,oo3,rr 3: 
mmmm,55,199731,2,mmmm,mm,rr 4: 
oooh,55,237751,2,öòòħ,oo4,rr 5: 
oz,56,35201,2,oz,oz,rr 1: 
mr,56,54600,2,mr,mr1,rr 2: 
op,56,102390,2,op,op,rr 3: 
myrrh,56,274092,2,my0rrħ,mr2,rr 4: 
um,57,48368,2,um,um1,rr 1: 
un,57,73195,2,un,un,rr 2: 
umm,57,126000,2,umm,um2,rr 3: 
ot,57,212115,2,ot,ot1,rr 4: 
ott,57,386919,2,ott,ot2,rr 5: 
os,58,73662,2,os,os1,rr 1: 
ow,58,73920,2,õw0,ow,rr 2: 
oss,58,264195,2,oss,os2,rr 3: 
er,67,551,2,èŕ,ur1,rr 1: 
err,67,141204,2,èŕr0,ur4,rr 2: 
upp,67,420803,2,upp,up2,rr 3: 
us,78,719,2,us,us,rr 1: 
eye,78,5486,2,èŷè,uy2,rr 2: 
suh,78,455064,2,suħ,su,rr 3: 
aye,78,525000,2,àŷè,uy3,rr 4: 
abba,111,102714,3,abbá,aba,rr 1: 
bab,111,246358,3,bab,bab,rr 2: 
bay,112,9719,3,bãý,bae,rr 1: 
bal,114,186924,3,bal,bal,rr 1: 
ban,115,10507,3,ban,ban1,rr 1: 
